Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,TotalReuse
BBa_I712076,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I766204,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
BBa_I712077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742133,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_I712078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I766205,0,0,0,0,9,0,0,0,0,0,0,0,0,1,10
BBa_I766206,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
BBa_I766207,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I766210,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
BBa_I742116,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I766103,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13
BBa_I742137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742117,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
BBa_I742118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I712021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_J15001,0,0,0,0,13,22,33,7,10,0,9,0,2,0,96
BBa_I742107,0,0,0,0,2,0,2,0,0,0,1,0,0,0,5
BBa_I742114,0,0,0,0,2,0,6,0,0,0,0,0,0,0,8
BBa_I742106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742112,0,0,0,0,2,0,6,0,0,0,0,0,0,0,8
BBa_J52008,0,0,0,2,5,34,2,0,4,0,5,0,0,0,52
BBa_J52642,0,0,0,1,9,2,1,0,0,0,0,0,0,0,13
BBa_I766214,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6
BBa_I712082,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I766215,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13
BBa_I766216,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13
BBa_I766217,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13
BBa_I766102,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27
BBa_I766220,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_I766557,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
BBa_I766555,0,0,0,0,17,7,0,0,0,0,0,0,3,1,28
BBa_I766231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I0500,28,112,40,30,16,30,17,21,17,12,17,31,19,0,390
BBa_I746104,0,0,0,0,5,0,0,4,0,0,0,0,0,0,9
BBa_I712010,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I712011,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11
BBa_I712026,0,0,0,0,5,0,0,0,0,0,2,1,0,0,8
BBa_I712016,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
BBa_I712024,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
BBa_J52034,0,0,0,4,4,0,0,0,5,0,0,0,0,0,13
BBa_I742141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742142,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4
BBa_I742148,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I742147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742145,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3
BBa_I742146,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_J33207,0,0,0,0,2,5,0,5,9,5,7,1,0,0,34
BBa_I746665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I766234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I766400,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
BBa_I766340,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
BBa_I766336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I766101,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24
BBa_I766348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_J06504,0,0,4,16,11,6,33,6,9,4,11,3,2,0,105
BBa_J06602,0,0,0,0,2,0,0,0,0,0,0,1,1,0,4
BBa_S03816,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_S03814,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I728978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_S0103,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6
BBa_S03815,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_S03813,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I751502,0,0,0,0,2,2,2,0,1,0,0,2,0,0,9
BBa_R0063,13,60,10,1,2,0,1,9,7,2,5,2,2,1,115
BBa_I751400,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_J54025,0,0,0,7,2,0,0,0,0,0,0,0,0,0,9
BBa_J54033,0,0,0,6,2,0,0,0,0,0,0,0,0,0,8
BBa_I751410,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I751501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I751500,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_J33204,0,0,0,0,0,1,0,1,1,3,0,0,0,1,7
BBa_K118022,0,0,0,0,0,0,0,1,3,0,1,0,0,0,5
BBa_K118023,0,0,0,0,0,0,0,1,2,0,1,0,0,0,4
BBa_K117000,0,0,0,0,0,2,0,0,1,1,0,2,0,0,6
BBa_K117002,0,0,0,0,0,2,0,0,0,6,1,0,0,0,9
BBa_K137115,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3
BBa_K117001,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3
BBa_K143053,0,0,0,0,0,0,0,8,19,1,1,0,0,0,29
BBa_K137124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K137125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_S04105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K103008,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K103009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K103012,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K103013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K103022,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K103021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_J31005,0,0,0,0,3,5,2,2,0,0,0,0,0,0,12
BBa_K105001,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4
BBa_K105009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BBa_K092000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
